size_mb,gc,x_organism_name,organism_groups,domain,kingdom,class,group,bio_sample,assembly
2.33839,59.5,Trueperella pyogenes,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN02689492,GCA_000612055.1
7.91605,72.7,Streptomyces violaceoruber,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN06323808,GCA_002082175.1
8.03266,72.3,Streptomyces laurentii,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMD00050872,GCA_002355495.1
3.19986,39.2937,Planococcus sp. PAMC 21323,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN02942809,GCA_000785555.1
8.93279,72.5865,Streptomyces lavendulae subsp. lavendulae,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN07663065,GCA_002803845.1
3.41243,41.5,Sporosarcina ureae,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN04619968,GCA_002082015.1
4.99248,65.6302,Magnetospirillum sp. XM-1,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMEA3682505,GCA_001511835.1
4.38143,60.8491,Roseovarius mucosus,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN06564448,GCA_002080415.1
1.1952,31.1,Candidatus Liberibacter americanus str. Sao Paulo,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN02604175,GCA_000496595.1
5.51224,60.8,Pseudomonas poae RE*1-1-14,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02603296,GCA_000336465.1
4.66421,64,Sphingopyxis sp. 113P3,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN03031198,GCA_001278035.1
2.05433,39.4,Aerococcus urinaeequi,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN04158504,GCA_001518795.1
2.97153,67.5,Brevundimonas naejangsanensis,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN02693465,GCA_000635915.2
2.34603,61.5,Rathayibacter toxicus,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN04158992,GCA_001465855.1
2.88932,36.9,Treponema pedis str. T A4,Bacteria;Spirochaetes;Spirochaetia,Bacteria,Spirochaetes,Spirochaetia,prokaryotes,SAMN02603890,GCA_000447675.1
0.937966,28.6967,Borrelia miyamotoi LB-2001,Bacteria;Spirochaetes;Spirochaetia,Bacteria,Spirochaetes,Spirochaetia,prokaryotes,SAMN02604147,GCA_000445425.4
5.66209,67.9502,Mycobacterium yongonense 05-1390,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN02603187,GCA_000418535.2
5.90941,49.7275,Photobacterium gaetbulicola Gung47,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN03379852,GCA_000940995.1
9.91044,68.4,Melittangium boletus DSM 14713,Bacteria;Proteobacteria;delta/epsilon subdivisions,Bacteria,Proteobacteria,delta/epsilon subdivisions,prokaryotes,SAMN06850203,GCA_002305855.1
8.26417,65.1,Bradyrhizobium oligotrophicum S58,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMD00061052,GCA_000344805.1
4.44662,70.3,Dokdonella koreensis DS-123,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN04631807,GCA_001632775.1
3.82697,73.8,Isoptericola dokdonensis DS-3,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN04437027,GCA_001636295.1
4.37671,72.3,Nocardioides dokdonensis FR1436,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN04606834,GCA_001653335.1
7.90576,71.5,Streptomyces fulvissimus DSM 40593,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN02603305,GCA_000385945.1
4.54496,40.8702,Pseudoalteromonas agarivorans DSM 14585,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN03380222,GCA_002310855.1
4.83018,67.3,Ilumatobacter coccineus YM16-304,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMD00060985,GCA_000348785.1
6.85281,61.1,Pseudomonas veronii,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN06076152,GCA_002028325.1
4.10424,37.9712,Bacillus flexus,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN05435900,GCA_002024265.1
3.23544,44.5,Sporosarcina sp. P33,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN04589807,GCA_002077155.1
5.57874,67.5462,Cupriavidus gilardii CR3,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN02665997,GCA_001281465.1
3.40598,52,Plesiomonas shigelloides,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMEA2665130,GCA_900087055.1
7.1379,68,Variovorax boronicumulans,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN07569770,GCA_002291405.1
1.59479,40.8,Helicobacter sp. MIT 01-6242,Bacteria;Proteobacteria;delta/epsilon subdivisions,Bacteria,Proteobacteria,delta/epsilon subdivisions,prokaryotes,SAMN05379701,GCA_001693335.1
5.19229,65.7148,Azotobacter chroococcum NCIMB 8003,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN03278357,GCA_000817975.1
3.35468,69.5,Rathayibacter tritici,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN04910036,GCA_001641005.1
2.65543,41.9834,Cycloclasticus zancles 78-ME,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02603046,GCA_000442595.1
4.91298,67.1,Bordetella hinzii,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN03790813,GCA_001078275.1
6.00051,53.6,Serratia fonticola,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN03450772,GCA_001006005.1
6.0535,50.7957,Paenibacillus durus,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN03010338,GCA_000756615.1
5.8902,45.7,Vibrio owensii,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN05213947,GCA_002021755.1
7.16646,50.6,Paenibacillus graminis,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN02996720,GCA_000758705.1
1.01378,48.5,Candidatus Saccharimonas aalborgensis,Bacteria;unclassified Bacteria;Bacteria candidate phyla,Bacteria,unclassified Bacteria,Bacteria candidate phyla,prokaryotes,SAMN02602963,GCA_000392435.1
4.81405,57,[Enterobacter] lignolyticus SCF1,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN00116754,GCA_000164865.1
8.50925,66.3954,Burkholderia contaminans,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN03135394,GCA_001029145.1
1.73949,62.7,Spiribacter salinus M19-40,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02603230,GCA_000319575.2
1.63438,30.6,Thermodesulfobacterium geofontis OPF15,Bacteria;Thermodesulfobacteria;Thermodesulfobacteria,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,prokaryotes,SAMN02232058,GCA_000215975.1
0.891575,27.8,Spiroplasma monobiae MQ-1,Bacteria;Terrabacteria group;Tenericutes,Bacteria,Terrabacteria group,Tenericutes,prokaryotes,SAMN03651236,GCA_002865545.1
1.28413,24.3,Spiroplasma floricola,Bacteria;Terrabacteria group;Tenericutes,Bacteria,Terrabacteria group,Tenericutes,prokaryotes,SAMN07981470,GCA_002813555.1
4.3522,31.1,Clostridium autoethanogenum DSM 10061,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN02358571,GCA_000484505.1
3.1064,52.3948,Acetobacter sp. SLV-7,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN03437041,GCA_001628715.1
5.10781,28.7,Clostridium saccharobutylicum DSM 13864,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN02603278,GCA_000473995.1
5.41246,70.119,Roseomonas gilardii,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN04958682,GCA_001941945.1
4.58342,62.4082,Sphingobium baderi,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN04219548,GCA_001456115.1
0.1715,42.1004,Candidatus Tremblaya phenacola PAVE,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN02604242,GCA_000412755.1
2.0319,58.9,Corynebacterium argentoratense DSM 44202,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN02603032,GCA_000590555.1
1.19964,28.7,Spiroplasma sp. TU-14,Bacteria;Terrabacteria group;Tenericutes,Bacteria,Terrabacteria group,Tenericutes,prokaryotes,SAMN05729610,GCA_001792795.1
4.63511,34.7,Cellulophaga baltica 18,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteria,FCB group,Bacteroidetes/Chlorobi group,prokaryotes,SAMN02208949,GCA_000468615.2
4.31432,32.8,Olleya sp. Bg11-27,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteria,FCB group,Bacteroidetes/Chlorobi group,prokaryotes,SAMN08125748,GCA_002831645.1
4.25563,55.4,Microbulbifer agarilyticus,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN06311449,GCA_001999945.1
2.88745,28.3,Clostridium chauvoei JF4335,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMEA102059668,GCA_900168365.1
9.10583,64.1,Bradyrhizobium diazoefficiens USDA 110,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMD00061083,GCA_000011365.1
1.78254,29.9,Campylobacter subantarcticus LMG 24374,Bacteria;Proteobacteria;delta/epsilon subdivisions,Bacteria,Proteobacteria,delta/epsilon subdivisions,prokaryotes,SAMN03248548,GCA_000816265.1
2.86253,63.5,Adlercreutzia equolifaciens DSM 19450,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMD00061014,GCA_000478885.1
4.4554,56.8,Desulfococcus multivorans,Bacteria;Proteobacteria;delta/epsilon subdivisions,Bacteria,Proteobacteria,delta/epsilon subdivisions,prokaryotes,SAMN04893606,GCA_001854245.1
3.84173,37.5904,Virgibacillus sp. SK37,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN03081529,GCA_000725285.1
4.09463,45.4,Pragia fontium,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN03216551,GCA_001026985.1
6.24786,63.4,Pseudomonas mosselii SJ10,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02470220,GCA_000498975.2
4.96441,47.0098,Yersinia similis,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02640350,GCA_000582515.1
8.20136,72.2,Streptomyces lydicus,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN05725998,GCA_001729485.1
4.88471,46,Bacillus infantis NRRL B-14911,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN02604281,GCA_000473245.1
1.87779,35.8,Acholeplasma brassicae,Bacteria;Terrabacteria group;Tenericutes,Bacteria,Terrabacteria group,Tenericutes,prokaryotes,SAMEA4532333,GCA_000967915.1
1.55423,29,Acholeplasma palmae J233,Bacteria;Terrabacteria group;Tenericutes,Bacteria,Terrabacteria group,Tenericutes,prokaryotes,SAMEA4532332,GCA_000968055.1
0.564395,27,Mycoplasma parvum str. Indiana,Bacteria;Terrabacteria group;Tenericutes,Bacteria,Terrabacteria group,Tenericutes,prokaryotes,SAMN02360547,GCA_000477415.1
4.96287,47.5,Yersinia sp. FDAARGOS_228,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN04875565,GCA_002073315.1
2.68848,44.2,Capnocytophaga haemolytica,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteria,FCB group,Bacteroidetes/Chlorobi group,prokaryotes,SAMN04435862,GCA_001553545.1
5.0254200000000004,35.552,Bacillus toyonensis BCT-7112,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN02389599,GCA_000496285.1
3.65384,63.9,Hyphomicrobium nitrativorans NL23,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN02641510,GCA_000503895.1
1.17776,31.1,candidate division SR1 bacterium RAAC1_SR1_1,Bacteria;unclassified Bacteria;Bacteria candidate phyla,Bacteria,unclassified Bacteria,Bacteria candidate phyla,prokaryotes,SAMN00998488,GCA_000503875.1
0.878109,43.2,candidate division WWE3 bacterium RAAC2_WWE3_1,Bacteria;unclassified Bacteria;Bacteria candidate phyla,Bacteria,unclassified Bacteria,Bacteria candidate phyla,prokaryotes,SAMN00998488,GCA_000503835.1
7.99049,70.5,Streptomyces niveus,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN05370045,GCA_002009175.1
5.38929,64.9,Pandoraea pnomenusa,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN03078809,GCA_000767615.3
1.19672,29.7,Ehrlichia muris AS145,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN02641637,GCA_000508225.1
2.77321,40.8801,Legionella oakridgensis ATCC 33761 = DSM 21215,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02641506,GCA_000512355.1
0.702511,31.7,Mycoplasma ovis str. Michigan,Bacteria;Terrabacteria group;Tenericutes,Bacteria,Terrabacteria group,Tenericutes,prokaryotes,SAMN02641557,GCA_000508245.1
6.5803,66.6748,Sphingomonas sanxanigenens DSM 19645 = NX02,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN02641489,GCA_000512205.2
2.37098,56.1,Bifidobacterium kashiwanohense PV20-2,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN03253090,GCA_000800455.1
4.90203,53.7,Kosakonia sacchari SP1,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02472168,GCA_000300455.4
1.44381,31.1,Candidatus Atelocyanobacterium thalassa isolate ALOHA,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,prokaryotes,SAMN02641594,GCA_000025125.1
1.04269,29.3728,Borrelia anserina Es,Bacteria;Spirochaetes;Spirochaetia,Bacteria,Spirochaetes,Spirochaetia,prokaryotes,SAMN04359737,GCA_001936255.1
1.03068,28.9,Borrelia parkeri HR1,Bacteria;Spirochaetes;Spirochaetia,Bacteria,Spirochaetes,Spirochaetia,prokaryotes,SAMN02641595,GCA_000512145.2
1.0672,37.8557,Chlamydia gallinacea 08-1274/3,Bacteria;PVC group;Chlamydiae,Bacteria,PVC group,Chlamydiae,prokaryotes,SAMN02435823,GCA_000471025.2
4.86805,61.5,Aeromonas dhakensis,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN07577462,GCA_002285935.1
0.820037,32.5,Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis),Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN02641518,GCA_000319245.1
0.821813,31,Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255),Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN02641519,GCA_000319225.1
0.833125,30.2,Candidatus Kinetoplastibacterium desouzaii TCC079E,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN02641643,GCA_000340795.1
0.810172,31.2,Candidatus Kinetoplastibacterium oncopeltii TCC290E,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN02641644,GCA_000340865.1
0.82214,32.4,Candidatus Kinetoplastibacterium galatii TCC219,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN02641645,GCA_000340905.1
0.112091,17.1,Candidatus Nasuia deltocephalinicola str. NAS-ALF,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN02641653,GCA_000442605.1
3.51319,60.569,Komagataeibacter medellinensis NBRC 3288,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMD00060987,GCA_000182745.1
0.94493,36.288,Cardinium endosymbiont cEper1 of Encarsia pergandiella,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteria,FCB group,Bacteroidetes/Chlorobi group,prokaryotes,SAMEA2272294,GCA_000304455.1
5.57552,74.1,Modestobacter marinus,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMEA2272685,GCA_000306785.1
1.15107,30.6,Candidatus Pantoea carbekii,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMD00015704,GCA_000478905.1
3.35178,68.3,Luteimonas sp. 100111,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN07357069,GCA_002327105.1
4.76218,54,Enterobacteriaceae bacterium strain FGI 57,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02744036,GCA_000330845.1
2.04572,46.1,beta proteobacterium CB,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN02641529,GCA_000342265.1
5.03601,62.2813,Martelella sp. AD-3,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN04450245,GCA_001578105.1
8.67628,66.262,Burkholderia lata,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN02598262,GCA_000012945.1
4.71958,54.2,Magnetococcus marinus MC-1,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN02598452,GCA_000014865.1
5.98283,67.7265,Mycobacterium gilvum PYR-GCK,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN02598346,GCA_000016365.1
4.3045,53.5,Geobacter daltonii FRC-32,Bacteria;Proteobacteria;delta/epsilon subdivisions,Bacteria,Proteobacteria,delta/epsilon subdivisions,prokaryotes,SAMN00623045,GCA_000022265.1
4.48554,65.502,Bordetella trematum,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMEA3906487,GCA_900078695.1
7.82954,63.1824,Paraburkholderia sprentiae WSM5005,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,prokaryotes,SAMN05846344,GCA_001865575.1
4.72479,60.5,Gloeobacter kilaueensis JS1,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,prokaryotes,SAMN02604186,GCA_000484535.1
4.16843,62.6,Alcanivorax pacificus W11-5,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02471159,GCA_000299335.2
2.65725,41.5,Bacteroidales bacterium CF,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteria,FCB group,Bacteroidetes/Chlorobi group,prokaryotes,SAMN02641638,GCA_000473305.1
2.74529,47.9185,Methylophaga frappieri,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02603343,GCA_000260965.1
3.1371000000000002,44.7,Methylophaga nitratireducenticrescens,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02603342,GCA_000260985.3
4.22549,67.5,Rhodanobacter denitrificans,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02232048,GCA_000230695.3
0.845464,49.4,Candidatus Saccharibacteria bacterium RAAC3_TM7_1,Bacteria;unclassified Bacteria;Bacteria candidate phyla,Bacteria,unclassified Bacteria,Bacteria candidate phyla,prokaryotes,SAMN00998488,GCA_000503915.1
1.11842,27.4,Candidatus Babela massiliensis,Bacteria;Proteobacteria;delta/epsilon subdivisions,Bacteria,Proteobacteria,delta/epsilon subdivisions,prokaryotes,SAMEA3138847,GCA_000513475.1
3.91859,46.5,Bacillus velezensis FZB42,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN02603158,GCA_000015785.1
5.98601,58.1,Pseudomonas cichorii JBC1,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02641561,GCA_000517305.1
3.01921,30.7,Tenacibaculum sp. LPB0136,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteria,FCB group,Bacteroidetes/Chlorobi group,prokaryotes,SAMN05945923,GCA_001889045.1
6.12436,60.7,Pseudomonas corrugata,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN04453325,GCA_001708425.1
7.47921,72.6409,Gemmatirosa kalamazoonesis,Bacteria;FCB group;Gemmatimonadetes,Bacteria,FCB group,Gemmatimonadetes,prokaryotes,SAMN02641636,GCA_000522985.1
9.87493,70.6,Kutzneria albida DSM 43870,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN02641507,GCA_000525635.1
2.71962,63.1768,Corynebacterium falsenii DSM 44353,Bacteria;Terrabacteria group;Actinobacteria,Bacteria,Terrabacteria group,Actinobacteria,prokaryotes,SAMN02641485,GCA_000525655.1
5.25207,59.6512,Hymenobacter swuensis DY53,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteria,FCB group,Bacteroidetes/Chlorobi group,prokaryotes,SAMN03081528,GCA_000576555.1
2.22958,44.1,[Clostridium] cellulosi,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMEA2634676,GCA_000953215.1
0.657101,22.5,Candidatus Hepatoplasma crinochetorum Av,Bacteria;Terrabacteria group;Tenericutes,Bacteria,Terrabacteria group,Tenericutes,prokaryotes,SAMN03081503,GCA_000582535.1
7.2675,62.298,Ensifer adhaerens,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN02781308,GCA_000697965.2
1.04827,36.8614,Chlamydia avium 10DC88,Bacteria;PVC group;Chlamydiae,Bacteria,PVC group,Chlamydiae,prokaryotes,SAMN02216823,GCA_000583875.1
3.55511,65.7,Roseibacterium elongatum DSM 19469,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,prokaryotes,SAMN03081458,GCA_000590925.1
3.05504,44.0529,Peptoclostridium acidaminophilum DSM 3953,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN02689753,GCA_000597865.1
6.66562,46.5,Flammeovirgaceae bacterium 311,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteria,FCB group,Bacteroidetes/Chlorobi group,prokaryotes,SAMN05771114,GCA_000597885.1
3.13941,33.6,Gilliamella apicola,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN03081539,GCA_000599985.1
4.58491,37.7,Lysinibacillus sp. YS11,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN06298611,GCA_002896375.1
7.07489,63.3,Pseudomonas protegens Pf-5,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN02604012,GCA_000012265.1
6.39189,66.6,Lysobacter capsici,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,prokaryotes,SAMN03275728,GCA_001442785.1
5.27057,52.6,Paenibacillus sabinae T27,Bacteria;Terrabacteria group;Firmicutes,Bacteria,Terrabacteria group,Firmicutes,prokaryotes,SAMN03081446,GCA_000612505.1
